Address,Mint,Leak,Limit
0x1cf33ead073351b3fc63c1f4f35dc10791fe6c7c,1,1,1
0x1f4a9567c1f98a8c9d7f026827f099b41a2e54d6,1,0,1
0x32680c305b2e753f0c9c8dfa6e36ba36c68e0801,1,1,1
0x4e7a34c6c29a4741858a7ec5622cd8be21b0351b,1,1,1
0x52ff8b15ef6b38cf0554ba9207d70d0d2437c56a,1,0,1
0x530a9cceee0c45f58229ae5c256e414e6df957ad,1,1,1
0x61495573c8433f06443fe0d4846e043efd99a9c6,1,1,1
0x64d30c2e9715f0add2815f862eaf22d9dbc1bd28,0,0,1
0x6580c6a7bb02981d403d25eeb95f45c331a6bf76,1,0,1
0x678ae07713cb9e8af29d78ca2836fa3851a26a7a,1,0,1
0x6a9b3e36436b7abde8c4e2e2a98ea40455e615cf,1,0,1
0x6ce8b8eed077f9b49c1fa684008ebb7562bb41ad,1,1,1
0x76bc9e61a1904b82cbf70d1fd9c0f8a120483bbb,1,1,1
0x8b34fbc553db3462ad4909f2e5577cc22f63c216,1,0,1
0x8d46facfb889740a345755e624942257dc87b5ac,1,0,1
0x8f04b7554fa2452ee34e5b5cafb5d43217a5ce5b,1,0,1
0x9241b4c67b6cdf9b99f5f50de21283d0441eff75,1,0,1
0x940d73c91db9f82440702f6cc8323a8c60583777,1,0,1
0xa62a63e1b51c30feff1116df3a33ec151453bb95,1,0,1
0xb363a3c584b1f379c79fbf09df015da5529d4dac,1,0,1
0xb9b4f4102d39ea2dd11d00a1ae2f878e5f1e26a9,1,0,1
0xdd2ee38f9993c0bc1c1b5b9798bc4deff66cac4a,1,1,1
0xe18fa7b1e1a7af9b338d3fb89c23a83d0c2e4b5d,1,0,1
0xe55a772c7889580ecffd9ca3477e12e921fae492,1,1,1
0xe79b55a739abd64c62e8a642afbf02582c008c88,1,0,1
0xfa65bb26b28e7f923f73248a9a47a5466d9cc7ec,1,1,1
0xff1560afef58be59b11c72734ad1d89db63e4e71,1,1,1
